rating,price
5.0,5125.73
3.6,1576.55
3.7,2065.36
3.4,1768.57
4.5,3120.03
2.6,2931.26
5.0,3709.35
3.5,2048.34
4.2,3488.4
3.9,2360.44
4.9,4388.2
2.8,2124.82
3.8,3717.39
3.8,2252.71
4.7,5565.81
3.3,2949.26
3.9,3275.44
3.5,2442.8
4.0,2412.34
4.3,2572.31
3.3,2276.52
4.7,2891.38
4.5,3530.64
4.3,2562.93
4.5,3767.17
3.6,3241.1
3.9,2346.92
3.4,3285.71
3.8,2604.85
4.3,3963.27
3.6,2874.72
3.8,3495.19
3.6,1872.24
3.5,2419.55
3.6,3593.8
4.0,2461.3
3.3,937.65
4.1,1652.71
5.0,1942.2
4.4,1776.27
3.9,2519.77
3.5,3368.91
3.6,2231.8
5.0,3926.47
4.0,2847.39
3.6,2600.23
4.1,2873.9
5.0,3578.07
4.1,3280.49
4.4,2373.07
4.2,3751.17
3.8,3374.93
3.3,2215.05
3.8,3296.09
3.9,2308.79
4.4,2805.52
4.5,3412.1
4.6,3213.77
4.2,2722.97
4.5,2854.15
3.5,2147.64
4.8,4158.79
4.3,1785.88
3.8,3003.66
4.3,2968.98
4.0,3373.2
4.7,3803.73
4.9,1681.74
5.0,4109.25
3.2,2456.67
3.1,2222.13
3.7,2329.78
4.1,3574.11
4.5,3031.44
4.2,4335.81
2.8,2324.41
3.8,4249.5
4.5,2747.55
4.1,1781.3
4.5,3766.12
3.9,3390.18
3.9,2828.39
4.1,1912.39
4.2,2783.3
4.1,3427.77
4.1,2828.2
3.6,2496.89
4.2,2958.41
4.1,2304.73
4.7,3069.04
4.7,2476.89
4.1,4226.45
3.8,2387.1
3.6,2927.74
4.3,2387.96
4.0,3493.29
3.8,1423.74
4.0,3565.36
3.6,2577.64
4.4,4712.48
3.7,1770.8
4.7,3541.23
4.2,3350.74
4.4,4047.95
3.3,2078.44
4.1,3041.83
4.4,1755.74
3.4,1861.11
3.8,3088.35
4.0,3688.58
3.2,2043.69
4.2,4490.73
4.5,4538.33
3.5,2444.98
4.2,1378.81
3.2,1025.81
4.0,2336.92
3.0,2905.52
4.7,3655.47
4.2,1630.3
4.0,2728.05
3.5,3657.28
4.8,3249.04
5.0,3175.02
2.9,3446.41
4.7,3530.75
5.0,3345.86
4.2,3307.36
3.3,2336.37
4.5,3014.01
3.9,3659.08
3.6,3391.11
3.3,2898.18
4.3,3092.24
4.5,4083.38
3.6,2565.91
4.3,3476.53
3.3,3074.3
4.5,3851.08
4.0,4175.18
3.9,3126.35
3.9,1672.32
4.5,2504.95
4.5,4205.27
4.3,2922.25
4.1,3236.67
4.0,2341.34
4.4,3897.44
4.1,2742.21
4.4,4248.3
3.8,2378.58
2.5,2513.97
4.6,3870.71
5.0,3194.33
4.3,3881.15
3.9,2220.78
3.9,2258.78
3.9,3348.05
4.0,2470.62
3.3,1945.74
3.7,2411.06
3.4,1721.31
4.1,3750.92
3.8,3183.57
4.3,3089.17
3.9,2740.27
4.6,3688.55
4.1,4238.23
5.0,4309.68
2.9,1633.83
3.6,3133.67
4.5,3249.57
5.0,3560.7
3.9,4087.19
4.0,2627.7
3.9,2455.94
4.8,2172.63
3.8,1780.46
4.4,3542.22
3.8,2260.05
3.2,2649.96
4.2,2270.09
4.3,2604.41
4.8,3992.95
3.9,3869.61
3.6,3018.4
4.3,4008.61
4.1,4208.77
4.2,3762.78
4.0,2222.0
4.7,3383.22
4.2,3518.49
5.0,3409.61
4.7,3749.67
4.4,2110.93
3.0,1538.79
4.4,3559.33
4.3,1535.77
4.5,2513.86
4.6,3388.93
3.8,1504.0
4.5,3335.51
3.7,2070.41
5.0,3495.88
3.2,2079.38
2.9,2187.37
3.0,1713.0
3.5,2535.31
3.3,1942.01
5.0,4089.25
3.8,3928.95
3.2,2393.32
4.7,3553.81
3.6,1803.66
3.3,2791.67
4.5,2789.76
4.4,2633.02
3.7,3081.43
4.8,3702.35
4.1,3736.99
5.0,4686.15
4.3,2763.54
4.9,3738.09
4.1,4184.8
3.3,2991.1
5.0,4199.13
3.7,3552.37
3.9,2381.34
3.6,3009.42
3.9,3788.85
4.1,4151.12
4.1,2432.55
4.4,3041.12
5.0,3967.9
3.9,2639.88
3.3,2033.83
3.3,2811.29
3.6,2333.05
3.0,844.85
4.5,3549.31
3.7,2363.71
3.8,2238.66
4.0,1803.08
3.2,2939.3
3.5,927.59
4.4,2034.33
4.4,3003.81
3.7,3547.55
5.0,4616.79
3.2,1464.76
3.8,2610.06
3.9,1731.88
2.3,2267.16
5.0,2666.41
4.2,2975.6
3.4,3121.69
5.0,3544.31
4.4,4210.23
4.3,2497.17
3.6,2867.07
4.1,3548.28
3.1,2069.88
4.5,4252.03
3.8,3103.96
4.1,1818.13
4.7,6248.01
4.2,3490.73
4.2,3101.12
4.2,2053.55
3.6,2605.27
4.5,2979.32
4.9,4091.86
4.5,3524.4
4.5,4621.86
3.5,2578.48
3.5,2842.92
3.1,2469.1
4.7,3387.54
3.8,2649.61
4.8,4342.63
3.5,3070.7
3.7,2249.39
4.1,2166.4
4.6,3295.11
4.0,3742.17
4.1,2982.07
4.0,4130.44
4.1,2442.5
3.3,2463.24
4.0,1177.43
3.9,2393.47
4.0,2656.34
4.3,3493.98
3.6,3770.74
3.9,2883.9
3.8,3775.01
4.3,3563.48
4.5,3967.14
3.4,2115.09
4.4,4150.73
