product,category,date,sales_amount
Laptop,Electronics,2025-01-15,55000
T-Shirt,Clothing,2025-01-20,1800
Rice,Groceries,2025-02-10,2500
Mobile,Electronics,2025-02-18,35000
Jeans,Clothing,2025-03-05,3200
Oil,Groceries,2025-03-15,2200
Headphones,Electronics,2025-04-10,4500
Shoes,Clothing,2025-05-12,4000
Sugar,Groceries,2025-06-08,1800
Tablet,Electronics,2025-07-15,28000
Keyboard,Electronics,2025-08-10,2500
Jacket,Clothing,2025-09-05,5500
Flour,Groceries,2025-10-12,2000
Smartwatch,Electronics,2025-11-18,12000
Monitor,Electronics,2025-12-20,18000
